panel_hgnc_id,panel_id,hgnc_id
1,1,HGNC:23336
2,1,HGNC:18149
3,1,HGNC:13666
4,1,HGNC:25662
5,1,HGNC:20
6,1,HGNC:21022
7,1,HGNC:17366
8,1,HGNC:23
9,1,HGNC:29
10,1,HGNC:14637
11,1,HGNC:32
12,1,HGNC:33
13,1,HGNC:34
14,1,HGNC:37
15,1,HGNC:42
16,1,HGNC:45
17,1,HGNC:47
18,1,HGNC:48
19,1,HGNC:53
20,1,HGNC:57
21,1,HGNC:59
22,1,HGNC:60
23,1,HGNC:61
24,1,HGNC:68
25,1,HGNC:13886
26,1,HGNC:13887
27,1,HGNC:15868
28,1,HGNC:13921
29,1,HGNC:21396
30,1,HGNC:76
31,1,HGNC:79
32,1,HGNC:87
33,1,HGNC:21497
34,1,HGNC:89
35,1,HGNC:90
36,1,HGNC:91
37,1,HGNC:92
38,1,HGNC:319
39,1,HGNC:93
40,1,HGNC:23338
41,1,HGNC:25070
42,1,HGNC:2707
43,1,HGNC:13557
44,1,HGNC:16066
45,1,HGNC:118
46,1,HGNC:119
47,1,HGNC:120
48,1,HGNC:14376
49,1,HGNC:124
50,1,HGNC:27288
51,1,HGNC:3571
52,1,HGNC:16496
53,1,HGNC:129
54,1,HGNC:130
55,1,HGNC:132
56,1,HGNC:143
57,1,HGNC:144
58,1,HGNC:145
59,1,HGNC:24124
60,1,HGNC:160
61,1,HGNC:28494
62,1,HGNC:163
63,1,HGNC:164
64,1,HGNC:166
65,1,HGNC:171
66,1,HGNC:172
67,1,HGNC:174
68,1,HGNC:175
69,1,HGNC:177
70,1,HGNC:186
71,1,HGNC:1839
72,1,HGNC:188
73,1,HGNC:195
74,1,HGNC:201
75,1,HGNC:216
76,1,HGNC:13201
77,1,HGNC:1366
78,1,HGNC:16305
79,1,HGNC:17109
80,1,HGNC:17110
81,1,HGNC:17111
82,1,HGNC:218
83,1,HGNC:219
84,1,HGNC:14631
85,1,HGNC:19706
86,1,HGNC:225
87,1,HGNC:226
88,1,HGNC:25151
89,1,HGNC:21285
90,1,HGNC:236
91,1,HGNC:237
92,1,HGNC:243
93,1,HGNC:245
94,1,HGNC:3337
95,1,HGNC:4512
96,1,HGNC:4516
97,1,HGNC:13841
98,1,HGNC:20973
99,1,HGNC:17416
100,1,HGNC:253
101,1,HGNC:13633
102,1,HGNC:24040
103,1,HGNC:257
104,1,HGNC:15766
105,1,HGNC:263
106,1,HGNC:21304
107,1,HGNC:286
108,1,HGNC:291
109,1,HGNC:20093
110,1,HGNC:303
111,1,HGNC:3776
112,1,HGNC:6473
113,1,HGNC:17869
114,1,HGNC:315
115,1,HGNC:317
116,1,HGNC:318
117,1,HGNC:26504
118,1,HGNC:26147
119,1,HGNC:21869
120,1,HGNC:321
121,1,HGNC:33784
122,1,HGNC:3262
123,1,HGNC:3263
124,1,HGNC:325
125,1,HGNC:327
126,1,HGNC:328
127,1,HGNC:329
128,1,HGNC:333
129,1,HGNC:17258
130,1,HGNC:336
131,1,HGNC:341
132,1,HGNC:343
133,1,HGNC:25230
134,1,HGNC:21575
135,1,HGNC:13203
136,1,HGNC:8768
137,1,HGNC:357
138,1,HGNC:10648
139,1,HGNC:20609
140,1,HGNC:358
141,1,HGNC:359
142,1,HGNC:360
143,1,HGNC:361
144,1,HGNC:362
145,1,HGNC:379
146,1,HGNC:385
147,1,HGNC:388
148,1,HGNC:391
149,1,HGNC:392
150,1,HGNC:393
151,1,HGNC:395
152,1,HGNC:397
153,1,HGNC:399
154,1,HGNC:9722
155,1,HGNC:15472
156,1,HGNC:409
157,1,HGNC:404
158,1,HGNC:403
159,1,HGNC:406
160,1,HGNC:408
161,1,HGNC:7179
162,1,HGNC:877
163,1,HGNC:414
164,1,HGNC:417
165,1,HGNC:18294
166,1,HGNC:32456
167,1,HGNC:19358
168,1,HGNC:30881
169,1,HGNC:28287
170,1,HGNC:23159
171,1,HGNC:23056
172,1,HGNC:20266
173,1,HGNC:23157
174,1,HGNC:23161
175,1,HGNC:15672
176,1,HGNC:427
177,1,HGNC:25189
178,1,HGNC:428
179,1,HGNC:430
180,1,HGNC:13743
181,1,HGNC:437
182,1,HGNC:20917
183,1,HGNC:17574
184,1,HGNC:438
185,1,HGNC:443
186,1,HGNC:1494
187,1,HGNC:449
188,1,HGNC:450
189,1,HGNC:451
190,1,HGNC:452
191,1,HGNC:25990
192,1,HGNC:461
193,1,HGNC:26837
194,1,HGNC:464
195,1,HGNC:465
196,1,HGNC:467
197,1,HGNC:14604
198,1,HGNC:468
199,1,HGNC:469
200,1,HGNC:470
201,1,HGNC:473
202,1,HGNC:19988
203,1,HGNC:17380
204,1,HGNC:483
205,1,HGNC:485
206,1,HGNC:491
207,1,HGNC:16039
208,1,HGNC:23140
209,1,HGNC:492
210,1,HGNC:493
211,1,HGNC:494
212,1,HGNC:15492
213,1,HGNC:29101
214,1,HGNC:15819
215,1,HGNC:21316
216,1,HGNC:23575
217,1,HGNC:29186
218,1,HGNC:26853
219,1,HGNC:24600
220,1,HGNC:26724
221,1,HGNC:14082
222,1,HGNC:25519
223,1,HGNC:14004
224,1,HGNC:27337
225,1,HGNC:25240
226,1,HGNC:6211
227,1,HGNC:21014
228,1,HGNC:21732
229,1,HGNC:535
230,1,HGNC:1361
231,1,HGNC:554
232,1,HGNC:555
233,1,HGNC:559
234,1,HGNC:560
235,1,HGNC:18971
236,1,HGNC:564
237,1,HGNC:565
238,1,HGNC:566
239,1,HGNC:567
240,1,HGNC:568
241,1,HGNC:572
242,1,HGNC:573
243,1,HGNC:574
244,1,HGNC:575
245,1,HGNC:22197
246,1,HGNC:583
247,1,HGNC:24036
248,1,HGNC:15718
249,1,HGNC:587
250,1,HGNC:600
251,1,HGNC:601
252,1,HGNC:17288
